county,population_2009,population_2019,source
Nairobi,3138369,4397073,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kiambu,1623282,2417735,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Nakuru,1603325,2162202,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kakamega,1660651,1867579,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Bungoma,1375063,1670570,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Meru,1356301,1545714,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kilifi,1109735,1453787,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Machakos,1098584,1421932,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kisii,1152282,1266860,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Mombasa,939370,1208333,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Narok,850920,1157873,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kajiado,687312,1117840,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Uasin Gishu,894179,1163186,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kisumu,968909,1155574,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Migori,917170,1116436,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Homa Bay,963794,1131950,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kitui,1012709,1136187,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Murang'a,942581,1056640,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Trans-Nzoia,818757,990341,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Siaya,842304,993183,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Makueni,884527,987653,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Turkana,855399,926976,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Busia,743946,893681,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Mandera,1025756,867457,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kericho,752396,901777,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Nandi,752965,885711,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kwale,649931,866820,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Bomet,730129,875689,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Garissa,623060,841353,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Wajir,661941,781263,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Nyeri,693558,759164,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Baringo,555561,666763,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Nyandarua,596268,638289,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
West Pokot,512690,621241,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Nyamira,598252,605576,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Kirinyaga,528054,610411,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Embu,516212,608599,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Vihiga,554622,590013,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Laikipia,399227,518560,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Marsabit,291166,459785,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Elgeyo-Marakwet,369998,454480,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Tharaka-Nithi,365330,393177,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Taita-Taveta,284657,340671,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Tana River,240075,315943,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Samburu,223947,310327,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Isiolo,143294,268002,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
Lamu,101539,143920,Wikipedia List of counties of Kenya by population (KNBS census); 2025-04-20
